Season,Team,Conference,Season record,Conf. Seed,NBA Seed,Last 20 Games record,ORtg Rank,DRtg Rank,2 seasons ago result,Last season result
2025-2026,Detroit Pistons,East,0.732,1,3,0.75,10,2,No Playoff,First Round
2025-2026,Boston Celtics,East,0.683,2,4,0.75,2,4,NBA Champion,Conference Semi-Final
2025-2026,New York Knicks,East,0.646,3,6,0.65,3,7,Conference Semi-Final,Conference Final
2025-2026,Cleveland Cavaliers,East,0.634,4,9,0.7,6,15,Conference Semi-Final,Conference Semi-Final
2025-2026,Toronto Raptors,East,0.561,5,11,0.55,15,5,No Playoff,No Playoff
2025-2026,Atlanta Hawks,East,0.561,6,12,0.75,14,9,No Playoff,No Playoff
2025-2026,Philadelphia 76ers,East,0.549,7,14,0.55,17,16,First Round,No Playoff
2025-2026,Orlando Magic,East,0.549,8,15,0.55,18,12,First Round,First Round
2025-2026,Charlotte Hornets,East,0.537,9,16,0.65,5,11,No Playoff,No Playoff
2025-2026,Miami Heat,East,0.524,10,17,0.5,13,13,First Round,First Round
2025-2026,Oklahoma City Thunder,West,0.78,1,1,0.85,7,1,Conference Semi-Final,NBA Champion
2025-2026,San Antonio Spurs,West,0.756,2,2,0.85,4,3,No Playoff,No Playoff
2025-2026,Denver Nuggets,West,0.659,3,5,0.8,1,21,Conference Semi-Final,Conference Semi-Final
2025-2026,Los Angeles Lakers,West,0.646,4,7,0.8,9,19,First Round,First Round
2025-2026,Houston Rockets,West,0.634,5,8,0.65,8,6,No Playoff,First Round
2025-2026,Minesota Timberwolves,West,0.598,6,10,0.5,12,8,Conference Final,Conference Final
2025-2026,Phoenix Suns,West,0.549,7,13,0.5,16,10,First Round,No Playoff
2025-2026,Portland Trail Blazers,West,0.512,8,18,0.65,20,14,No Playoff,No Playoff
2025-2026,Los Angeles Clippers,West,0.512,9,19,0.6,11,18,First Round,First Round
2025-2026,Golden State Warriors,West,0.451,10,20,0.25,19,17,No Playoff,Conference Semi-Final
