Season,Team,Conference,Season record,Conf. Seed,NBA Seed,Last 20 Games record,ORtg Rank,DRtg Rank,2 seasons ago result,Last season result
2025-2026,Detroit Pistons,East,0.756,1,2,0.7,12,2,No Playoff,First Round
2025-2026,Boston Celtics,East,0.63,2,6,0.7,2,12,NBA Champion,Conference Semi-Final
2025-2026,New York Knicks,East,0.609,3,8,0.45,3,17,Conference Semi-Final,Conference Final
2025-2026,Toronto Raptors,East,0.604,4,9,0.6,18,6,No Playoff,No Playoff
2025-2026,Cleveland Cavaliers,East,0.583,5,12,0.65,9,13,Conference Semi-Final,Conference Semi-Final
2025-2026,Philadelphia 76ers,East,0.543,6,13,0.5,15,14,First Round,No Playoff
2025-2026,Miami Heat,East,0.532,7,15,0.5,19,8,First Round,First Round
2025-2026,Orlando Magic,East,0.511,8,16,0.4,20,16,First Round,First Round
2025-2026,Chicago Bulls,East,0.5,9,17,0.6,14,24,No Playoff,No Playoff
2025-2026,Atlanta Hawks,West,0.479,10,18,0.4,21,15,No Playoff,No Playoff
2025-2026,Oklahoma City Thunder,West,0.792,1,1,0.65,5,1,Conference Semi-Final,NBA Champion
2025-2026,San Antonio Spurs,West,0.674,2,3,0.6,8,3,No Playoff,No Playoff
2025-2026,Denver Nuggets,West,0.66,3,4,0.5,1,23,Conference Semi-Final,Conference Semi-Final
2025-2026,Houston Rockets,West,0.636,4,5,0.6,4,7,No Playoff,First Round
2025-2026,Los Angeles Lakers,West,0.622,5,7,0.5,6,25,First Round,First Round
2025-2026,Phoenix Suns,West,0.596,6,10,0.65,13,9,First Round,No Playoff
2025-2026,Minesota Timberwolves,West,0.596,7,11,0.55,10,5,Conference Final,Conference Final
2025-2026,Golden State Warriors,West,0.542,8,14,0.65,16,4,No Playoff,Conference Semi-Final
2025-2026,Portland Trail Blazers,West,0.479,9,19,0.55,22,18,No Playoff,No Playoff
2025-2026,Los Angeles Clippers,West,0.478,10,20,0.8,11,20,First Round,First Round
