Season,Team,Conference,Season record,Conf. Seed,NBA Seed,Last 20 Games record,ORtg Rank,DRtg Rank,2 seasons ago result,Last season result,Playoff Outcome
2023?2024,Boston Celtics,Est,0.78,1,1,0.8,1,3,NBA Final,Conference Final,NBA Champion
2023?2024,New York Knicks,Est,0.61,2,6,0.7,7,10,No Playoff,Conference Semi-Final,Conference Semi-Final
2023?2024,Milwaukee Bucks,Est,0.598,3,8,0.4,6,18,Conference Semi-Final,First Round,First Round
2023?2024,Cleveland Cavaliers,Est,0.585,4,11,0.4,18,7,No Playoff,First Round,Conference Semi-Final
2023?2024,Orlando Magic,Est,0.573,5,9,0.55,22,2,No Playoff,No Playoff,First Round
2023?2024,Indiana Pacers,Est,0.573,6,14,0.65,2,24,No Playoff,No Playoff,Conference Final
2023?2024,Philadelphia Sixers,Est,0.573,7,15,0.65,13,11,Conference Semi-Final,Conference Semi-Final,First Round
2023?2024,Miami Heat,Est,0.561,8,16,0.6,21,5,Conference Final,NBA Final,First Round
2023?2024,Chicago Bulls,Est,0.476,9,20,0.45,19,22,First Round,No Playoff,No Playoff
2023?2024,Atlanta Hawks,Est,0.439,10,21,0.4,12,28,First Round,First Round,No Playoff
2023?2024,Oklahoma City Thunder,West,0.695,1,2,0.7,3,4,No Playoff,No Playoff,Conference Semi-Final
2023?2024,Denver Nuggets,West,0.695,2,3,0.75,5,8,First Round,NBA Champion,Conference Semi-Final
2023?2024,Minnesota Timberwolves,West,0.683,3,4,0.65,16,1,First Round,First Round,Conference Final
2023?2024,Los Angeles Clippers,West,0.622,4,5,0.5,4,19,No Playoff,First Round,First Round
2023?2024,Dallas Mavericks,West,0.61,5,6,0.8,10,17,Conference Final,No Playoff,NBA Final
2023?2024,Phoenix Suns,West,0.598,6,9,0.65,8,13,Conference Semi-Final,Conference Semi-Final,First Round
2023?2024,New Orlean Pelicans,West,0.598,7,10,0.65,11,6,First Round,No Playoff,First Round
2023?2024,Los Angeles Lakers,West,0.573,8,13,0.75,15,16,No Playoff,Conference Final,First Round
2023?2024,Sacramento Kings,West,0.561,9,17,0.55,14,15,No Playoff,First Round,No Playoff
2023?2024,Golden State Warriors,West,0.561,10,18,0.65,9,14,NBA Champion,Conference Semi-Final,No Playoff
2022-2023,Milwaukee Bucks,Est,0.707,1,1,0.65,12,4,NBA Champion,Conference Semi-Final,First Round
2022-2023,Boston Celtics,Est,0.695,2,2,0.65,2,3,First Round,NBA Final,Conference Final
2022-2023,Philadelphia Sixers,Est,0.659,3,3,0.7,3,10,Conference Semi-Final,Conference Semi-Final,Conference Semi-Final
2022-2023,Cleveland Cavaliers,Est,0.622,4,5,0.65,8,1,No Playoff,No Playoff,First Round
2022-2023,New York Knicks,Est,0.573,5,8,0.6,4,19,First Round,No Playoff,Conference Semi-Final
2022-2023,Brooklyn Nets,Est,0.549,6,9,0.55,13,16,Conference Semi-Final,First Round,First Round
2022-2023,Miami Heat,Est,0.537,7,13,0.6,25,8,First Round,Conference Final,NBA Final
2022-2023,Atlanta Hawks,Est,0.5,8,17,0.55,7,22,Conference Final,First Round,First Round
2022-2023,Toronto Raptors,Est,0.5,9,18,0.55,11,12,No Playoff,First Round,No Playoff
2022-2023,Chicago Bulls,Est,0.488,10,19,0.6,23,5,No Playoff,First Round,No Playoff
2022-2023,Denver Nuggets,West,0.646,1,4,0.5,5,15,Conference Semi-Final,First Round,NBA Champion
